antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Consequent_Margin_EUR,Expected_Value_Per_1k_EUR
Cheese,Wine,0.4776,0.476,0.4236,0.8869346733668341,1.8633081373252818,1.0,0.19626239999999998,4.634488888888885,0.8869068019036133,0.7992452830188679,0.7842264758909048,0.8884253198766943,5.0,4434.67
Beer,Diapers,0.1748,0.372,0.1674,0.95766590389016,2.574370709382151,1.0,0.10237439999999999,14.834378378378329,0.7410998007217106,0.44122298365840806,0.9325890189333759,0.70383295194508,4.5,4309.5
Bread,Wine,0.1858,0.476,0.1552,0.8353067814854683,1.7548461795913202,1.0,0.06675920000000002,3.181673202614381,0.5283093644510962,0.3063560994867746,0.6856999646669243,0.5806786008267678,5.0,4176.53
Baby Wipes,Diapers,0.362,0.372,0.3052,0.8430939226519338,2.2663815125051987,1.0,0.17053600000000002,4.002394366197186,0.875811945093818,0.7117537313432837,0.7501495583629519,0.8317620150894078,4.5,3793.92
Beer,Diapers,0.233,0.372,0.172,0.7381974248927038,1.9844016798190962,1.0,0.08532399999999998,2.398754098360655,0.6467663200024256,0.39722863741339487,0.5831169186189551,0.6002815081452766,4.5,3321.89
Beer,Diapers,0.233,0.3052,0.1674,0.7184549356223175,2.3540463159315776,1.0,0.09628839999999998,2.4678109756097557,0.7499341878784196,0.4514563106796116,0.5947825786158859,0.6334738636171875,4.5,3233.05
Wine,Cheese,0.476,0.4776,0.4236,0.8899159663865546,1.8633081373252816,1.0,0.19626239999999998,4.745465648854959,0.8841986895313884,0.7992452830188679,0.7892725237108625,0.8884253198766943,2.5,2224.79
Bread,Cheese,0.183,0.4776,0.1552,0.8480874316939891,1.775727453295622,1.0,0.0677992,3.4388201438848935,0.5347007533218084,0.30708349821923225,0.7092025874693514,0.586522777823544,2.5,2120.22
Beer,Baby Wipes,0.172,0.362,0.1674,0.9732558139534884,2.6885519722472053,1.0,0.10513600000000001,23.85565217391304,0.7585175950455676,0.4566284779050736,0.958081213093242,0.7178433765900039,1.2,1167.91
Diapers,Beer,0.3052,0.233,0.1674,0.5484927916120576,2.354046315931577,1.0,0.09628839999999998,1.6987547169811317,0.8278634457437362,0.4514563106796116,0.4113334962347556,0.6334738636171875,2.0,1096.99
Diapers,Baby Wipes,0.372,0.362,0.3052,0.8204301075268818,2.2663815125051987,1.0,0.17053600000000002,3.5529341317365293,0.8897579951749297,0.7117537313432837,0.7185424882866487,0.8317620150894078,1.2,984.52
Baby Wipes,Beer,0.362,0.233,0.1748,0.4828729281767956,2.0724160007587793,1.0,0.090454,1.4831944444444445,0.811083692603459,0.4159923845787721,0.3257795673752224,0.6165437602257369,2.0,965.75
Baby Wipes,Beer,0.362,0.172,0.1674,0.46243093922651934,2.6885519722472058,1.0,0.10513600000000001,1.540267214799589,0.9844084148867241,0.4566284779050736,0.3507620038967625,0.7178433765900039,2.0,924.86
Diapers,Beer,0.372,0.233,0.172,0.46236559139784944,1.9844016798190962,1.0,0.08532399999999998,1.4266200000000002,0.7899200118500962,0.39722863741339487,0.29904249204413225,0.6002815081452766,2.0,924.73
